location,locationType,state,lat,lon,count
Valles Caldera National Preserve,Natural Attraction,New Mexico,35.9150925,-106.510502500517,1
"Camp Desert Rock, Nevada",City,Nevada,36.6271773,-116.0200311,1
Liberty Island,Place of Interest,New York,40.68981375,-74.0451390334562,25
"Brooklyn, New York",City,New York,40.6501038,-73.9495823,140
Grand Canyon National Park,Natural Attraction,Arizona,36.30785475,-112.29289603702401,688
New York,State,New York,40.7127281,-74.0060152,68
"Phoenix, Arizona",City,Arizona,33.448586600000006,-112.0773456,27
"Manhattan, New York",City,New York,40.7896239,-73.9598939,243
San Francisco Bay Bridge,Natural Attraction,California,37.71402905,-122.30779415179899,6
"San Simeon, California",City,California,35.6438587,-121.19075330000001,6
Harvard University,Place of Interest,Massachusetts,42.36782045,-71.12666652874479,76
"Los Angeles, California",City,California,34.0536909,-118.2427666,625
Fisherman's Wharf,Neighborhood,California,36.60457485,-121.892642058383,96
Chelsea Market,Neighborhood,New York,40.7420513,-74.0048973,23
Fremont Street Experience,Neighborhood,Nevada,36.1696861,-115.1417206,25
"Downtown Las Vegas, Las Vegas",Neighborhood,Nevada,36.1718599,-115.141427690934,4
Erick Schat's Bakery,Restaurant,California,37.3678518,-118.39570865,1
"Bishop, California",City,California,37.363679,-118.3952405,2
"New York, New York",City,New York,40.7127281,-74.0060152,992
"Death Valley Junction, California",City,California,36.3017289,-116.41406599999999,4
The White House,Place of Interest,District of Columbia,38.8976998,-77.0365534886228,83
Zuma Beach,Natural Attraction,Texas,29.452343699999997,-98.3488393,3
"Soho, New York",City,New York,40.722879999999996,-73.9987505,1
"The White House, Washington, D.C.",Place of Interest,District of Columbia,38.8950092,-77.0365625,4
Four Seasons Hotel Washington DC,Travel,District of Columbia,38.90460805,-77.0572334451225,2
Boston Public Library,Place of Interest,Massachusetts,42.349326899999994,-71.0786551908223,15
"Chicago, Illinois",City,Illinois,41.875561600000005,-87.6244212,409
Potomac River - Great Falls,Natural Attraction,Maryland,38.99769129999999,-77.25286640000002,1
Bear Mountain State Park,Natural Attraction,New York,41.2959612,-74.00262091613921,7
de Young Museum,Place of Interest,California,37.77148045,-122.469127513671,13
Bear Mountain Bridge,Natural Attraction,New York,41.3199069,-73.9798823,1
George Washington Bridge,Natural Attraction,New Jersey,40.851667799999994,-73.952679334291,1
"Minot, North Dakota",City,North Dakota,48.23251,-101.296273,4
Bellagio Las Vegas,Travel,Nevada,36.11311495,-115.177006452287,198
Twin Peaks Restaurants,Restaurant,Utah,40.6290611,-111.8895498,2
"Rhyolite, Nevada",City,Nevada,36.9038245,-116.8288837,1
Wynn Las Vegas,Place of Interest,Nevada,36.1287929,-115.167074,42
Fifth Avenue,Neighborhood,Washington,48.087494899999996,-123.11398425,9
Lincoln Memorial,Place of Interest,District of Columbia,38.889323299999994,-77.05012114225109,140
Stanford University,Place of Interest,California,37.43131385,-122.169365354983,41
"Daly City, California",City,California,37.6904826,-122.47267079999999,2
Horseshoe Bend,Natural Attraction,Arizona,36.880453,-111.5161335,259
Potomac River,Natural Attraction,Maryland,39.0820616,-77.4565157,4
Philadelphia's Magic Gardens,Place of Interest,Pennsylvania,39.942775899999994,-75.1594912,12
Disney Hollywood studios,Neighborhood,Florida,28.3572521,-81.5606174711873,1
Central Park,Natural Attraction,New York,40.7838476,-73.9645715841571,335
Welcome to Fabulous Las Vegas sign,Place of Interest,Nevada,36.0820568,-115.17277409127199,43
"North Hollywood, California",City,California,34.1729044,-118.37403710000001,6
Independence Hall,Place of Interest,Pennsylvania,39.94888725,-75.1500259573599,24
Philadelphia Museum of Art,Place of Interest,Pennsylvania,39.96556385,-75.1815127731516,40
"Philadelphia, Pennsylvania",City,Pennsylvania,39.9527237,-75.16352619999999,243
Los Angeles International Airport,Travel,California,33.94216755,-118.421376298728,9
"Beacon Hill, Boston",Neighborhood,Massachusetts,42.3598196,-71.0661623,11
"The High Line, New York",City,New York,40.74770385,-74.0048911708541,3
Kennedy Space Center Visitor Complex,Place of Interest,Florida,28.52427955,-80.6818557991238,10
"Waikiki Beach, USA",Natural Attraction,Hawaii,21.273936,-157.824514819965,3
Angels Landing - Zion National Park,Natural Attraction,Utah,37.2748779,-112.95077479999999,4
Boston Harbor Cruises,Neighborhood,Massachusetts,42.3727338,-71.0524994,8
Antelope Canyon,Natural Attraction,Utah,40.448367700000006,-112.62115,200
Venice Beach L.A.,Neighborhood,Florida,27.1000553,-82.45759670000001,26
Las Vegas Strip,Neighborhood,Nevada,36.1054097,-115.17314909999999,171
"Hermosa Beach, California",City,California,33.86428,-118.39591000000001,11
"Provincetown, Massachusetts",City,Massachusetts,42.058436,-70.1786375,16
Staples Center,Place of Interest,California,34.0430046,-118.267052602794,32
Hermosa Beach Pier,Natural Attraction,California,33.8615954,-118.4033929,5
"Huntington Beach, California",City,California,33.6783336,-118.0000166,29
